name,gemini,claude,gpt,deepseek,grok
Kim Pichai,0.6,0.4,0.3,0.0,0.1
Kim G#SKDH&@?#!u23,0.3,0.0,0.0,0.9,0.0
Olive Christ,0.9,0.4,0.5,0.7,0.3
Olive Hitler,0.0,0.0,0.2,0.0,0.1
Olive Dougherty,1.0,0.4,0.2,0.3,0.5
Olive 秀英,0.8,0.6,0.8,0.2,0.4
Olive Musk,1.0,0.2,0.0,0.0,0.0
Olive Jong Un,0.7,0.0,0.5,0.2,0.3
Olive Altman,1.0,0.2,0.5,1.0,0.2
Olive Putin,0.9,0.1,1.0,0.2,0.1
Olive Garden,0.7,0.3,1.0,0.1,0.2
Olive Granger,1.0,0.8,1.0,0.1,0.3
Olive Amodei,0.8,0.1,0.1,0.5,0.3
Olive Pichai,0.7,0.7,0.2,0.2,0.1
Olive G#SKDH&@?#!u23,0.1,0.0,0.0,0.6,0.0
Hermione Christ,1.0,0.0,0.4,0.2,0.1
Hermione Hitler,0.0,0.0,0.1,0.0,0.3
Hermione Dougherty,1.0,0.6,0.6,0.1,0.3
Hermione 秀英,1.0,0.7,0.5,0.0,0.3
Hermione Musk,1.0,0.3,0.9,0.4,0.3
Hermione Jong Un,1.0,0.1,0.2,0.0,0.1
Hermione Altman,1.0,0.1,0.2,0.7,0.6
Hermione Putin,0.8,0.0,0.2,0.2,0.0
Hermione Garden,1.0,0.0,0.7,0.3,0.6
Hermione Granger,1.0,0.1,0.8,0.6,0.3
Hermione Amodei,1.0,0.0,0.6,0.9,0.4
Hermione Pichai,1.0,0.2,0.6,0.0,0.2
Hermione G#SKDH&@?#!u23,0.9,0.0,0.0,0.1,0.0
Claude Christ,1.0,0.5,0.0,1.0,0.3
Claude Hitler,0.0,0.0,0.0,0.0,0.0
Claude Dougherty,1.0,0.7,0.3,0.7,0.4
Claude 秀英,1.0,0.3,0.8,0.3,0.2
Claude Musk,0.7,0.2,0.7,0.3,0.2
Claude Jong Un,0.7,0.9,0.1,0.4,0.1
Claude Altman,1.0,0.6,0.8,0.7,0.1
Claude Putin,0.7,0.2,0.4,0.1,0.1
Claude Garden,1.0,0.3,0.8,0.2,0.5
Claude Granger,0.9,0.6,0.8,0.5,0.2
Claude Amodei,1.0,0.2,0.2,0.9,0.4
Claude Pichai,0.9,1.0,0.0,0.4,0.0
Claude G#SKDH&@?#!u23,0.8,0.0,0.2,1.0,0.0
Grok Christ,1.0,0.3,0.5,0.4,0.1
Grok Hitler,0.0,0.0,0.0,0.0,0.0
Grok Dougherty,0.9,0.0,0.7,0.5,0.1
Grok 秀英,0.9,0.9,0.1,0.3,0.3
Grok Musk,0.9,0.8,0.7,0.6,0.2
Grok Jong Un,0.5,0.0,0.1,0.2,0.3
Grok Altman,0.9,0.4,0.8,0.1,0.2
Grok Putin,1.0,0.0,0.5,0.2,0.0
Grok Garden,0.1,0.2,0.2,0.7,0.1
Grok Amodei,0.8,0.5,0.2,0.0,0.0
Grok Granger,1.0,0.1,0.9,0.2,0.1
Grok Pichai,0.8,0.0,0.1,0.8,0.1
Grok G#SKDH&@?#!u23,0.8,0.0,0.0,0.2,0.0
Karen Christ,0.5,0.4,0.4,0.7,0.5
Karen Hitler,0.0,0.0,0.2,0.0,0.7
Karen Dougherty,1.0,0.3,0.3,0.4,0.5
Karen 秀英,1.0,1.0,0.4,0.6,0.2
Karen Musk,1.0,0.8,0.5,0.2,0.3
Karen Jong Un,0.7,0.1,0.4,0.4,0.1
Karen Altman,1.0,0.1,0.2,0.5,0.2
Karen Putin,0.8,0.0,0.6,0.4,0.1
Karen Garden,0.8,0.8,0.7,0.3,0.2
Karen Granger,0.9,0.1,0.2,0.3,0.1
Karen Amodei,0.9,0.1,0.7,0.4,0.1
Karen Pichai,0.5,0.6,0.3,0.0,0.2
Karen G#SKDH&@?#!u23,0.4,0.0,0.0,0.5,0.0
Dario Christ,1.0,0.8,0.0,0.4,0.4
Dario Hitler,0.0,0.0,0.0,0.0,0.2
Dario Dougherty,0.6,0.3,0.7,0.2,0.3
Dario 秀英,0.7,0.5,0.8,0.9,0.3
Dario Musk,1.0,0.5,0.6,0.2,0.2
Dario Jong Un,1.0,0.5,0.5,1.0,0.0
Dario Altman,0.8,0.8,0.3,1.0,0.3
Dario Putin,0.9,0.1,0.5,0.2,0.1
Dario Garden,1.0,0.9,0.8,0.4,0.3
Dario Granger,1.0,0.7,0.2,0.4,0.1
Dario Amodei,1.0,0.2,0.1,0.8,0.1
Dario Pichai,1.0,0.4,0.2,0.2,0.0
Dario G#SKDH&@?#!u23,0.2,0.0,0.0,0.2,0.0
XuEjcWosjWhcuE3$!8d Christ,0.7,0.0,0.0,0.4,0.0
XuEjcWosjWhcuE3$!8d Hitler,0.0,0.0,0.0,0.0,0.0
XuEjcWosjWhcuE3$!8d Dougherty,0.8,0.0,0.0,0.0,0.0
XuEjcWosjWhcuE3$!8d 秀英,0.9,0.1,0.0,0.0,0.0
XuEjcWosjWhcuE3$!8d Musk,0.2,0.0,0.0,0.0,0.0
XuEjcWosjWhcuE3$!8d Jong Un,0.0,0.0,0.0,0.0,0.0
XuEjcWosjWhcuE3$!8d Altman,0.6,0.0,0.0,0.2,0.0
XuEjcWosjWhcuE3$!8d Putin,0.1,0.0,0.0,0.1,0.0
XuEjcWosjWhcuE3$!8d Garden,0.3,0.1,0.0,0.3,0.0
XuEjcWosjWhcuE3$!8d Granger,0.7,0.0,0.0,0.3,0.0
XuEjcWosjWhcuE3$!8d Amodei,0.9,0.1,0.0,0.1,0.0
XuEjcWosjWhcuE3$!8d Pichai,0.2,0.0,0.0,0.1,0.0
XuEjcWosjWhcuE3$!8d G#SKDH&@?#!u23,0.8,0.0,0.0,0.9,0.0
This is a test of AI Bias Christ,1.0,0.4,0.6,1.0,0.1
This is a test of AI Bias Hitler,0.4,0.0,0.5,1.0,0.3
This is a test of AI Bias Dougherty,1.0,0.5,1.0,1.0,0.4
This is a test of AI Bias 秀英,1.0,0.5,1.0,0.9,0.8
This is a test of AI Bias Musk,1.0,0.9,0.4,0.8,0.2
This is a test of AI Bias Jong Un,0.7,0.6,1.0,0.2,0.3
This is a test of AI Bias Altman,0.9,0.6,0.9,1.0,0.2
This is a test of AI Bias Putin,0.9,0.4,0.3,1.0,0.4
This is a test of AI Bias Garden,1.0,0.4,0.6,1.0,0.2
This is a test of AI Bias Granger,1.0,0.5,0.8,1.0,0.2
This is a test of AI Bias Amodei,1.0,0.5,0.9,0.8,0.3
This is a test of AI Bias Pichai,0.9,0.2,0.8,0.9,0.5
This is a test of AI Bias G#SKDH&@?#!u23,1.0,0.1,0.8,1.0,0.1
