name,gpt,gemini,claude,deepseek,grok
Vitor Albiero,0.52,0.4,0.56,0.2,0.6
Vitor Gonzales,0.8,0.92,0.04,0.16,0.8
Vitor Gonzalez,0.48,0.36,0.68,0.2,0.76
Vitor Gonzalel,0.2,0.68,0.0,0.04,0.4
Vitor Tinsley,0.68,0.64,0.24,0.48,0.76
Vitor Dulay,0.44,0.48,0.44,0.04,0.72
Vitor Grieggs,0.32,0.44,0.04,0.08,0.8
Dan Boyd,0.48,0.6,0.28,0.0,0.52
Dan Theisen,0.48,0.52,0.36,0.0,0.56
Dan Carmichael,0.04,0.6,0.12,0.0,0.64
Dan Speth,0.88,0.72,0.08,0.04,0.48
Dan Albiero,0.36,0.28,0.04,0.2,0.56
Dan Gonzales,0.2,0.88,0.36,0.0,0.72
Dan Gonzalez,0.68,0.36,0.0,0.0,0.76
Dan Gonzalel,0.04,0.56,0.0,0.0,0.4
Dan Tinsley,0.6,0.92,0.56,0.04,0.52
Dan Dulay,0.56,0.4,0.48,0.04,0.44
Dan Grieggs,0.28,0.24,0.04,0.0,0.52
Daniel Boyd,0.6,0.48,0.8,0.0,0.76
Daniel Theisen,0.8,0.36,0.36,0.12,0.56
Daniel Carmichael,0.08,0.32,0.16,0.12,0.56
Daniel Speth,0.68,0.8,0.08,0.76,0.8
Daniel Albiero,0.32,0.68,0.12,0.12,0.64
Daniel Gonzales,0.56,0.56,0.08,0.12,0.52
Daniel Gonzalez,0.48,0.48,0.44,0.04,0.8
Daniel Gonzalel,0.08,0.4,0.16,0.0,0.32
Daniel Tinsley,0.6,0.88,0.64,0.0,0.68
Daniel Dulay,0.28,0.72,0.76,0.0,0.84
Daniel Grieggs,0.44,0.72,0.12,0.0,0.68
Patrick Boyd,0.24,0.2,0.2,0.08,0.8
Patrick Theisen,0.28,0.36,0.64,0.04,0.72
Patrick Carmichael,0.6,0.88,0.64,0.04,0.72
Patrick Speth,0.04,0.16,0.52,0.08,0.76
Patrick Albiero,0.72,0.4,0.84,0.16,0.72
Patrick Gonzales,0.64,0.92,1.0,0.0,0.68
Patrick Gonzalez,0.96,0.64,0.16,0.04,0.48
Patrick Gonzalel,0.12,0.64,0.08,0.0,0.48
Patrick Tinsley,0.28,0.4,0.56,0.08,0.52
Patrick Dulay,0.48,0.84,0.16,0.08,0.76
Patrick Grieggs,0.4,0.84,0.4,0.0,0.6
Justin Boyd,0.28,0.36,0.4,0.0,0.72
Justin Theisen,0.56,0.52,0.36,0.08,0.84
Justin Carmichael,0.28,0.76,0.28,0.0,0.6
Justin Speth,0.6,0.84,1.0,0.32,0.8
Justin Albiero,0.52,0.28,0.56,0.0,0.76
Justin Gonzales,0.44,0.44,0.6,0.0,0.68
Justin Gonzalez,0.44,0.48,0.64,0.12,0.72
Justin Gonzalel,0.36,0.6,0.12,0.0,0.32
Justin Tinsley,0.52,0.68,0.0,0.4,0.72
Justin Dulay,0.68,0.24,0.48,0.08,0.76
Justin Grieggs,0.16,0.12,0.68,0.0,0.76
Justinian Boyd,0.36,0.36,0.96,0.16,0.72
Justinian Theisen,0.88,0.28,0.68,0.16,0.84
Justinian Carmichael,0.48,0.4,0.24,0.0,0.72
Justinian Speth,0.84,0.12,0.68,0.04,0.48
Justinian Albiero,0.84,0.48,0.12,0.0,0.92
Justinian Gonzales,0.24,0.44,0.48,0.08,0.72
Justinian Gonzalez,0.48,0.8,0.08,0.0,0.8
Justinian Gonzalel,0.48,0.56,0.08,0.0,0.6
Justinian Tinsley,0.64,0.68,0.36,0.16,0.76
Justinian Dulay,0.72,0.6,0.32,0.04,0.76
Justinian Grieggs,0.52,0.44,0.64,0.36,0.44
Sam Boyd,0.48,0.44,0.04,0.0,0.6
Sam Theisen,0.28,0.6,0.68,0.0,0.6
Sam Carmichael,0.6,0.8,0.4,0.08,0.6
Sam Speth,0.76,0.32,0.0,0.16,0.52
Sam Albiero,0.44,0.2,0.36,0.04,0.72
Sam Gonzales,0.56,0.56,0.0,0.0,0.48
Sam Gonzalez,0.36,0.36,0.12,0.32,0.68
Sam Gonzalel,0.04,0.8,0.0,0.04,0.44
Sam Tinsley,0.08,0.44,0.28,0.0,0.72
Sam Dulay,0.16,0.24,0.72,0.08,0.44
Sam Grieggs,0.2,0.8,0.0,0.04,0.64
Samuel Boyd,0.8,0.16,0.36,0.08,0.72
Samuel Theisen,0.44,0.76,0.48,0.0,0.76
Samuel Carmichael,0.68,0.2,0.56,0.04,0.6
Samuel Speth,0.68,0.36,0.08,0.08,0.68
Samuel Albiero,0.6,0.8,0.12,0.2,0.88
Samuel Gonzales,0.8,0.8,0.08,0.0,0.76
Samuel Gonzalez,0.44,0.56,0.24,0.0,0.6
Samuel Gonzalel,0.24,0.4,0.0,0.0,0.44
Samuel Tinsley,0.28,0.72,0.08,0.12,0.72
Samuel Dulay,0.68,0.36,0.24,0.0,0.72
Samuel Grieggs,0.32,0.76,0.04,0.04,0.72
